keys,en,es
PING_PASS_TO_ME,Pass to me!,¡Pásamela!
PING_IM_OPEN,I'm open!,¡Estoy solo!
PING_SHOOT,Shoot!,¡Tira!
PING_GET_PUCK,Get the puck!,¡Al disco!
PING_GET_OPEN,Get open!,¡Desmárcate!
PING_PICK_HIM_UP,Pick him up!,¡Márcalo!
PING_GET_HIM,Get him!,¡A por él!
PING_COVER_HIM,Cover him!,¡Cúbrelo!
PING_OVER_THERE,Over there!,¡Por allí!
STAR_FIRST,1ST STAR,1.ª ESTRELLA
STAR_SECOND,2ND STAR,2.ª ESTRELLA
STAR_THIRD,3RD STAR,3.ª ESTRELLA
STARS_OF_THE_GAME,★  STARS OF THE GAME  ★,★  ESTRELLAS DEL PARTIDO  ★
TUTORIAL_MOVEMENT,Movement,Movimiento
TUTORIAL_STICK_BASICS,Stick Basics,Manejo del Stick
TUTORIAL_SHOOTING,Shooting,Tiro
TUTORIAL_PASSING,Passing,Pases
TUTORIAL_DEFENSE,Defense,Defensa
TUTORIAL_RULES,Rules,Reglas
TUTORIAL_PART_N_OF_M,Part %d of %d,Parte %d de %d
TUTORIAL_COMPLETE_NAMED,%s Complete!,¡Has completado %s!
TUTORIAL_COMPLETE_GENERIC,Tutorial Complete!,¡Tutorial completado!
TUTORIAL_NEXT_SUBTITLE,That's %s done. Up next — %s: %s. Finish the set before you hit the ice.,Has completado %s. A continuación — %s: %s. Termina la serie antes de saltar al hielo.
TUTORIAL_ALL_DONE,You know the ropes — now get out there.,Ya lo dominas — ahora salta al hielo.
TUTORIAL_CONTINUE_CTA,Continue → %s: %s,Continuar → %s: %s
DRILL_PENALTY_SHOTS,Penalty Shots,Penaltis
DRILL_SHOT_ACCURACY,Shot Accuracy,Precisión de Tiro
DRILL_PASSING,Passing,Pases
TITLE_HAT_TRICK,Hat Trick,Hat Trick
TITLE_PLAYMAKER,Playmaker,Creador de Juego
TITLE_BIG_NIGHT,Stat Stuffer,Llenaplanillas
TITLE_BRICK_WALL,Brick Wall,Muralla
TITLE_FIRST_GOAL,Lamp Lighter,Farolero
TITLE_ONE_TIMER,Triggerman,Gatillero
TITLE_TIP_IN,Garbage Man,Basurero
TITLE_OVERTIME_HERO,Overtime Hero,Héroe de la Prórroga
TITLE_FACEOFF_BOSS,Master of the Dot,Amo del Punto
TITLE_PICKPOCKET,Pickpocket,Carterista
TITLE_SHUTOUT,Lockdown,Candado
TITLE_FIRST_WIN,Winner,Ganador
TITLE_FIRST_STAR,First Star,Primera Estrella
TITLE_FREIGHT_TRAIN,Freight Train,Tren de Carga
TITLE_STUDENT,Student of the Game,Estudiante del Juego
TITLE_CUSTOM_BUILD,Self-Made,Hecho a Medida
TITLE_PLAY_WITH_BUUKIE,Buukie's Buddy,Amigo de Buukie
TITLE_SNIPER,Sniper,Francotirador
TITLE_SETUP_ARTIST,Setup Artist,Asistidor
TITLE_ENFORCER,Enforcer,Ejecutor
TITLE_VETERAN,Veteran,Veterano
